ASV	Domain	Phylum	Class	Order	Family	Genus	Species	
4761e9f4b45c9f800095ca0db7157b04	d__Bacteria	 p__Fibrobacterota	 c__Fibrobacteria	 o__Fibrobacterales	 f__Fibrobacteraceae	 g__uncultured	
3251ea2c235394004241798eb619c3c7	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae	 g__Maritimimonas	 s__uncultured_Bacteroidetes
99ee53a432105cc52bd633363c19d2f5	d__Bacteria	 p__Patescibacteria	 c__Gracilibacteria	 o__Absconditabacteriales_(SR1)	 f__Absconditabacteriales_(SR1)	 g__Absconditabacteriales_(SR1)	 s__uncultured_Epsilonproteobacteria
3abb8530e9257a0811578d2a99a1d0b5	d__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Verrucomicrobiales	 f__DEV007	 g__DEV007	 s__uncultured_deep-sea
a7224b99ac29b4a9567328206205c6f3	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Gammaproteobacteria_Incertae_Sedis	 f__Unknown_Family	 g__uncultured	 s__uncultured_marine
5439aeff737f63d64844fda6079387d9	d__Bacteria	 p__Spirochaetota	 c__Spirochaetia	 o__Spirochaetales	 f__Spirochaetaceae	 g__Spirochaeta_2	
99bb4bcf7f414f1448e9f75ee5aaf560	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae		
9c424861faae15864e3c6a457fdbc787	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhodobacterales	 f__Rhodobacteraceae	 g__uncultured	
2a0ae720e614a6b72c47545397e002d0	d__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Micrococcales	 f__Micrococcaceae	 g__Rothia	 s__Rothia_dentocariosa
7c32a631ec1898154f2eb9e4cbdfc752	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Saprospiraceae	 g__uncultured	
bfc27dae56e8e8ea310a878b2d40e115	d__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Verrucomicrobiales	 f__Rubritaleaceae	 g__Rubritalea	
17e9c4249ca9c1bfeeffb96bf8cab2f3	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Saprospiraceae	 g__Lewinella	 s__Lewinella_cohaerens
3695fd6319fe5180d14b64e6f306d3b2	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Anaerolineales	 f__Anaerolineaceae	 g__uncultured	
630c30d221e85879a931024808e39009	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Cellvibrionales	 f__Halieaceae	 g__Marimicrobium	
b93205facac140b17e257b5d6ba3e7fb	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Pirellulales	 f__Pirellulaceae	 g__Rhodopirellula	 s__uncultured_planctomycete
064baf8726d2b96a9b046fc40203c989	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhodobacterales	 f__Rhodobacteraceae		
226214a7e641048915f398eb6502079a	d__Bacteria	 p__Myxococcota	 c__Myxococcia	 o__Myxococcales	 f__Myxococcaceae	 g__P3OB-42	
3c4596651158ceae1551f123cef9139c	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Caulobacterales	 f__Hyphomonadaceae	 g__Algimonas	
79dd4dd01d4dda175be4f76078f4c593	d__Bacteria	 p__Patescibacteria	 c__Parcubacteria	 o__Candidatus_Campbellbacteria	 f__Candidatus_Campbellbacteria	 g__Candidatus_Campbellbacteria	 s__uncultured_bacterium
de2f90c9b362ec9e839aa59dfed34d74	d__Bacteria						
5488f3966061ccdcef87e5ca992ad354	d__Bacteria	 p__Patescibacteria	 c__Parcubacteria	 o__Candidatus_Kaiserbacteria	 f__Candidatus_Kaiserbacteria	 g__Candidatus_Kaiserbacteria	 s__uncultured_prokaryote
068e5a8ba355deb8d6014f6beda348e9	d__Bacteria	 p__NB1-j	 c__NB1-j	 o__NB1-j	 f__NB1-j	 g__NB1-j	 s__uncultured_bacterium
928b45c5839ab3880550866cbe215383	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Pirellulales	 f__Pirellulaceae	 g__Rhodopirellula	
9b915c72a2bc8a9a5fad3925302dd1d3	d__Bacteria	 p__Latescibacterota	 c__Latescibacteria	 o__Latescibacterales	 f__Latescibacteraceae	 g__Latescibacteraceae	 s__uncultured_marine
46039c484a1e939793d2bd8c8a3112bf	d__Bacteria	 p__Actinobacteriota	 c__Acidimicrobiia	 o__Microtrichales	 f__Microtrichaceae	 g__uncultured	 s__uncultured_Gram-positive
